Luis Felipe Rodriguez Garcia,PublicSchool,Camuy,2.00,1,1,,
Luis F Crespo,PublicSchool,Camuy,2.00,1,1,,
Luis Hernaiz Veronne,PublicSchool,Canóvanas,2.00,2,0,,
Elemental Barrio Las 400,PublicSchool,Canóvanas,2.00,2,0,,
Voc William Rivera Betancourt,PublicSchool,Canóvanas,2.00,2,0,,
Juana Rodriguez Mundo,PublicSchool,Canóvanas,2.00,1,1,,
Carmiam Private School,PrivateSchool,Carolina,2.00,2,0,,
Carvin Elementary School,PrivateSchool,Carolina,2.00,2,0,,
Carvin School High,PrivateSchool,Carolina,2.00,2,0,,
Colegio María Auxiliadora,PrivateSchool,Carolina,2.00,2,0,,
Pedro Moczo Baniet,PublicSchool,Carolina,2.00,2,0,,
Angel P Millan Rohena,PublicSchool,Carolina,2.00,2,0,,
Rvdo Felix Castro Rodriguez,PublicSchool,Carolina,2.00,2,0,,
Roberto Clemente,PublicSchool,Carolina,2.00,2,0,,
Petra Roman Vigo,PublicSchool,Carolina,2.00,2,0,,
"Sebastian Bilingual School , Inc",Childcare,Carolina,2.00,2,0,,
Colegio Amarileen,PrivateSchool,Carolina,2.00,1,1,,
Jesus Maria Sanroma,PublicSchool,Carolina,2.00,1,1,,
Mujeres Embarazadas - Oficina Administrativa / Prog. Head Start,Headstart,Carolina,2.00,0,2,,
Francisco Oller,PublicSchool,Cataño,2.00,2,0,,
Colegio Nuestra Señora De La Merced,PrivateSchool,Cayey,2.00,2,0,,
Mi Pequeño Paraíso Infantil De Cayey,PrivateSchool,Cayey,2.00,2,0,,
Virginia Vazquez Mendoza,PublicSchool,Cayey,2.00,2,0,,
Regino Vega Matinez,PublicSchool,Cidra,2.00,2,0,,
Jose M Espada Zayas,PublicSchool,Coamo,2.00,2,0,,
Ines Maria Mendoza,PublicSchool,Comerío,2.00,0,2,,
Dr Jose Padin,PublicSchool,Corozal,2.00,2,0,,
Su Nicolas Rodriguez,PublicSchool,Corozal,2.00,1,1,,
TASIS,PrivateSchool,Dorado,2.00,2,0,,
Ricardo Arroyo Laracuente,PublicSchool,Dorado,2.00,2,0,,
LITTLE WORLD CHRISTIAN CASTLE,PrivateSchool,Fajardo,2.00,2,0,,
Colegio Sonifel,PrivateSchool,Fajardo,2.00,2,0,,
Escuela Evangelica Unida De Fajardo,PrivateSchool,Fajardo,2.00,2,0,,
Rosa Pascuala Paris,PublicSchool,Fajardo,2.00,2,0,,
Juanita Ramirez Gonzalez,PublicSchool,Florida,2.00,2,0,,
"Fountain Christian Bilingual School Guayama, Inc.",PrivateSchool,Guayama,2.00,2,0,,
Vicente Pales Anes,PublicSchool,Guayama,2.00,2,0,,
Dra Maria Socorro Lacot,PublicSchool,Guayama,2.00,2,0,,
Programa Head Start/ Early Head Start Municipio de Guayama,Headstart,Guayama,2.00,0,2,,
Dalila Torres,PublicSchool,Guayanilla,2.00,2,0,,
Gloria Maria Borrero Oliveras,PublicSchool,Guayanilla,2.00,2,0,,
COMMONWEALTH-PARKVILLE SCHOOL (PARKVILLE ELEMENTARY SCHOOL CAMPUS),PrivateSchool,Guaynabo,2.00,2,0,,
Santiago Iglesias Pantin,PublicSchool,Guaynabo,2.00,2,0,,
Margarita Janer Palacios,PublicSchool,Guaynabo,2.00,2,0,,
Wesleyan Academy,PrivateSchool,Guaynabo,2.00,1,1,,
AMAZING CHRISTIAN SCHOOL,PrivateSchool,Guaynabo,2.00,0,2,,
Jose Rodriguez Soto,PublicSchool,Guánica,2.00,1,1,,
Carmen Noelia Peraza Toledo,PublicSchool,Hatillo,2.00,2,0,,
Lorenzo Coballes Gandia,PublicSchool,Hatillo,2.00,2,0,,
Luis Melendez Rodriguez,PublicSchool,Hatillo,2.00,1,1,,
Su Rafael Zamot Cruz,PublicSchool,Hatillo,2.00,1,1,,
Su Alfredo Dorrington,PublicSchool,Hormigueros,2.00,2,0,,
The Palmas Academy,PrivateSchool,Humacao,2.00,2,0,,
Anita Otero Hernandez,PublicSchool,Humacao,2.00,1,1,,
Colegio Cristiano De Isabela Rev. Secundino Elba,PrivateSchool,Isabela,2.00,1,1,,
Pedro Bosch,PublicSchool,Juncos,2.00,2,0,,
Su Pedro Rivera Molina,PublicSchool,Juncos,2.00,2,0,,
Juana Sanchez,PublicSchool,Juncos,2.00,1,1,,
Elemental Urbana Nueva,PublicSchool,Lajas,2.00,2,0,,
Domingo Aponte Collazo,PublicSchool,Lares,2.00,2,0,,
George Washington,PublicSchool,Lares,2.00,2,0,,
Daniel Velez Soto,PublicSchool,Lares,2.00,0,2,,
Su Lauro Gonzalez Hijo,PublicSchool,Las Marías,2.00,2,0,,
Eugenio Maria De Hostos (Intermedia),PublicSchool,Las Marías,2.00,2,0,,
Colegio Mi Cuido Y Educación,PrivateSchool,Las Piedras,2.00,2,0,,
Jose De Diego,PublicSchool,Las Piedras,2.00,2,0,,
Academia Cristiana Cohelet,PrivateSchool,Las Piedras,2.00,1,1,,
Ramon Power Y Giralt,PublicSchool,Las Piedras,2.00,1,1,,
Head Start Loíza Pueblo,Headstart,Loiza,2.00,2,0,,
Su Sabana (Su Alejandrina Rios),PublicSchool,Luquillo,2.00,1,1,,
Head Start Pitahaya l,Headstart,Luquillo,2.00,0,2,,
Fernando Callejo,PublicSchool,Manatí,2.00,2,0,,
Colegio De La Inmaculada Concepción,PrivateSchool,Manatí,2.00,2,0,,
Colegio Episcopal San Andres,PrivateSchool,Mayagüez,2.00,2,0,,
Dr Pedro Perea Fajardo,PublicSchool,Mayagüez,2.00,2,0,,
Segundo Ruiz Belvis,PublicSchool,Mayagüez,2.00,2,0,,
Luis Muñoz Rivera,PublicSchool,Mayagüez,2.00,2,0,,
Colegio De Aprendizaje Y Desarrollo Educativo Integral,PrivateSchool,Moca,2.00,2,0,,
John Broadus School Inc.,PrivateSchool,Moca,2.00,2,0,,
Superior Catalina Morales Flores,PublicSchool,Moca,2.00,2,0,,
Su Jose R Barreras,PublicSchool,Morovis,2.00,2,0,,
Angel G. Quintero,PublicSchool,Morovis,2.00,2,0,,
Lutgarda Rivera Reyes,PublicSchool,Naguabo,2.00,2,0,,
Juan Jose Maunez,PublicSchool,Naguabo,2.00,2,0,,
Fermin Delgado Diaz,PublicSchool,Naguabo,2.00,2,0,,
